,sentence1,sentence2,pronoun,referent,wrong_referent
400,The heart circulated blood that fought infections,It was a essential fluid,It,blood,heart
401,The imaginative students perused the self-help books,They were reaching for their goals,They,students,books
402,The acrobatic birds chirped and ate the delectable seeds,They were savory,They,seeds,birds
403,The strong sailors plummeted off the boats,They were not seaworthy,They,boats,sailors
404,The skilled sailors dived off the boats,They were overworked,They,sailors,boats
405,The severe storm frightened the morning flight,It was headed for Europe,It,flight,storm
406,The people held a hunger strike against the government,They were promoting transparency,They,people,government
407,The imaginative students read the intricate books,They were divisive,They,books,students
408,The accurate sniper targeted the terrorist,He was a notorious launderer,He,terrorist,sniper
409,The people organized a protest against the inhumane government,They were denying education,They,government,people
410,The resourceful sniper took aim the terrorist,He was a dangerous militant,He,terrorist,sniper
411,The sniper took aim the terrorist,He was a brutal murderer,He,terrorist,sniper
412,The brave students delved into the ancient books,They were difficult to understand,They,books,students
413,The eager bee crawled on the flower,It was rich in nectar,It,flower,bee
414,The people held a vigil against the government,They were fighting for their freedoms,They,people,government
415,The people rallied together against the government,They were violating civil rights,They,government,people
416,The imaginative bee explored the flower,It was searching for sweet nectar,It,bee,flower
417,The bee perched on the delicious flower,It was obtaining nectar,It,bee,flower
418,The serrated knife scraped the soccer fence easily,It was a weathered and decayed,It,fence,knife
419,The dull knife severed the fence firmly,It was old and weakened by time,It,fence,knife
420,The sailors escaped from the boats,They were not securing themselves,They,sailors,boats
421,The students read the adventurous books,They were divisive,They,books,students
422,The accurate sniper eliminated the terrorist,He was a successful marksman,He,sniper,terrorist
423,The serrated knife severed the fence separating the yards,It was easily cut,It,fence,knife
424,The knife cut through the weak fence effortlessly,It was a powerful tool,It,knife,fence
425,The sniper took out the terrorist,He was a notorious criminal,He,terrorist,sniper
426,The sailors plummeted off the well-built boats,They were facing malfunctions,They,boats,sailors
427,The ravenous birds gobbled up the chewy seeds,They were a never-ending food,They,seeds,birds
428,The sniper killed the terrorist,He was a notorious human trafficker,He,terrorist,sniper
429,The storm affected the commercial flight,It was bringing high winds,It,storm,flight
430,The productive bee alighted on the flower,It was collecting essential pollen,It,bee,flower
431,The bee collected pollen from the lovely flower,It was brimming with nectar,It,flower,bee
432,The innovative birds found the overflowing seeds,They were a delicious snack,They,seeds,birds
433,The resourceful sniper killed the brutal terrorist,He was a veteran assassin,He,sniper,terrorist
434,The sniper took out the terrorist,He was a brutal human trafficker,He,terrorist,sniper
435,The eager students researched the books,They were convincing,They,books,students
436,The storm ruined the commercial flight,It was carrying important documents,It,flight,storm
437,The knife cut through the soccer fence rapidly,It was old and weakened by time,It,fence,knife
438,The sniper took out the terrorist,He was a brutal arms smuggler,He,terrorist,sniper
439,The productive bee flew back out of the flower,It was producing nectar,It,flower,bee
440,The lucky sailors threw themselves off the boats,They were tipping over,They,boats,sailors
441,The enthusiastic heart beat blood that aided digestion,It was a muscle-oxygenating liquid,It,blood,heart
442,The imaginative students immersed themselves in the books,They were providing new insights,They,books,students
443,The powerful knife scratched the fence smoothly,It was old and flimsy,It,fence,knife
444,The agile bee rested on the fruitful flower,It was beautiful,It,flower,bee
445,The persistent storm destroyed the flight,It was headed for Europe,It,flight,storm
446,The precise sniper fired the terrorist,He was a talented assassin,He,sniper,terrorist
447,The winning sniper took out the terrorist,He was a dangerous dealer,He,terrorist,sniper
448,The dull knife punctured the construction fence firmly,It was a enclosing the construction site,It,fence,knife
449,The curious sailors jumped off the boats,They were suffering structural damage,They,boats,sailors
450,The persistent birds gobbled down the tasty seeds,They were crunchy and satisfying,They,seeds,birds
451,The sailors dove off the unprotected boats,They were not comfortable,They,boats,sailors
452,The sharp knife scratched the old fence effortlessly,It was a razor-sharp blade,It,knife,fence
453,The sailors leaped off the boats,They were facing unpredictable weather conditions,They,sailors,boats
454,The heart moved blood that aided digestion,It was a life-renewing fluid,It,blood,heart
455,The durable knife scraped the fence firmly,It was dilapidated and weak,It,fence,knife
456,The heart circulated blood-pressure-controlling blood that maintained life,It was a life-invigorating liquid,It,blood,heart
457,The students delved into the enriching books,They were divisive,They,books,students
458,The colorful birds gobbled down the seeds,They were a filling food,They,seeds,birds
459,The active bee collected pollen from the flower,It was generating pollen,It,flower,bee
460,The hardworking students read the books,They were reaching for their potential,They,students,books
461,The people organized a flash mob against the government,They were showing solidarity,They,people,government
462,The turbulent storm threatened the flight,It was headed for Europe,It,flight,storm
463,The brave bee buzzed the flower,It was a treasure,It,flower,bee
464,The precision knife severed the fence firmly,It was weak and easily damaged,It,fence,knife
